# Messungs_ID Temperature[K] Phase[degree] a a_error gamma gamma_error x0 x0_error
3 320.0 0.0 0.0 0.0 17988.65 0.0 -15313.2 0.0
4 340.0 0.0 0.0 0.0 16593.75 0.0 -15189.3 0.0
5 350.0 0.0 0.0 0.0 15070.7 0.0 -13626.5 0.0
6 350.0 0.0 0.0 0.0 14724.85 0.0 -13731.8 0.0
7 360.0 0.0 0.0 0.0 9170.1 0.0 -15638.0 0.0
8 360.0 0.0 0.0 0.0 9228.8 0.0 -16014.7 0.0
9 360.0 0.0 0.0 0.0 9241.45 0.0 -16564.0 0.0
10 370.0 0.0 0.0 0.0 3951.7 0.0 -19141.3 0.0
11 380.0 0.0 0.0 0.0 4173.2 0.0 -17250.6 0.0
16 390.0 0.0 0.0 0.0 6582.7 0.0 -14742.6 0.0
19 375.0 0.0 0.0 0.0 3606.65 0.0 -18314.5 0.0
22 385.0 0.0 0.0 0.0 5280.75 0.0 -16485.4 0.0
27 365.0 0.0 0.0 0.0 5604.95 0.0 -17352.4 0.0
32 355.0 0.0 0.0 0.0 13610.8 0.0 -13445.9 0.0
37 345.0 0.0 0.0 0.0 15606.3 0.0 -14966.4 0.0
42 330.0 0.0 0.0 0.0 17512.35 0.0 -15854.9 0.0
45 335.0 0.0 0.0 0.0 16846.7 0.0 -14236.8 0.0
48 320.0 0.0 0.0 0.0 17969.75 0.0 -15638.0 0.0
51 310.0 0.0 0.0 0.0 18702.95 0.0 -19014.1 0.0
55 340.0 0.0 0.0 0.0 16500.1 0.0 -15391.5 0.0
